相对路径,安全散列值_SHA256,字节数
01_数据\第四问变量角色与泄漏禁用表.csv,c78fd4c181fe1d051050937275a2d0270573313739babc68c4a991bc4f49873d,3160
01_数据\第四问女胎记录级建模表.csv,ed6bdddfff42f4b284d31b93ad3dca69adcf8f80fcb54a67e10aabd75dc007bc,190460
01_数据\第四问孕妇级标签审计表.csv,fe3c52537a2521a47dd0597533afc1fb2eda469904b6cd0e644ecc22a1d78c62,2778
01_数据\第四问抽血事件重复审计表.csv,b37cfa963e193d243abf99f5ba6bef34b859eb6ff2a3eef6f5fbb00bac41837f,30935
01_数据\第四问数据构造断言.json,d4666eb010d04aed185db012d053342c0a967d6d73e5e0f41d7434efdbb7a2e7,831
01_数据\第四问标签与样本审计摘要.csv,ae1f3e66e8899723083395a98a3380e7ce7732c28182fbc4f57a6bca0a7783c2,682
02_模型结果\第四问候选路线统一比较.csv,2c48e378d86475887b908e363f562b3459d6e8712f321a29009dd4f9f615d654,1936
02_模型结果\第四问入选模型全样本参数表.csv,2ce98850bc688c4851be308a0bb411c253b642f1885f7252b43d65a613b20cfb,1595
02_模型结果\第四问入选模型校准十分位表.csv,3fd2aa3e9b48c9c7158b5c6ab5d4be58f1e1edece3eda9e21d387938b88bf90b,1031
02_模型结果\第四问入选模型留一系数稳定性.csv,89ccceca9478879ea9bc911b6c4339ab2cc9cab716cb2d0fd9ce07a69d04d8b4,2396
02_模型结果\第四问入选模型阈值性能完整曲线.csv,3fca20cd2aa2b8e79284759bcc22954a1c23c59194d9c6702a9d750fd8a7b6d7,147421
02_模型结果\第四问入选模型预处理参照表.csv,e24cb03c2272afbbf46e4b815373d5efbfb5e33fe007ccf6c8d062236821add7,1443
02_模型结果\第四问参数来源表.csv,5ada6ec8e942e178ee3ad775663f9d6b7cffc98936bf1268514c947fd798ae14,2161
02_模型结果\第四问各异常类型全样本参数表.csv,8cecc8fdf5cded84f37dd00fbe5cf6bb6b9b68fe9b3c65b385842c4611289993,3608
02_模型结果\第四问各异常类型识别指标.csv,80fdbc0589bec6c1e67c73778ad370047769968564a5119e381853cdc7256c2e,2446
02_模型结果\第四问多标签组合识别摘要.csv,118aabe33d0b77d4f85bc0341abd40cf45e523164fbf3a88b3f573c33599e055,115
02_模型结果\第四问推荐模型卡.md,c00d37583ec9d493d49e609a1a688acf2b16d27ef52d6a4d6e0fc8d04584ff14,3663
03_验证\第四问候选路线差异整簇自助逐次.csv,ab4a093be61d88d1d1110e1cfa1c7480431e8f31e3cbf9d6fc36181f3db7b0e1,26421
03_验证\第四问候选路线指标95%区间.csv,2493c97e6a784b0874cfb82b83b087bd85ac22e96d31138a2f18fe9f33bf8ff7,3354
03_验证\第四问候选路线指标前缀收敛.csv,33ac2c1ae72237efd1d57f5348ec645b6dfcf9c0820c0fe2b03ae80a439efbab,9889
03_验证\第四问候选路线指标整簇自助逐次.csv,86877e29ef0820df3cdd51b394210573f5f9868dbc1a52515869d961823f1021,470789
03_验证\第四问候选路线训练内阈值逐孕妇.csv,d6a1e8f956a70118499439d0e1debac5fe71ffdc760573d4169a1d4c025bd516,54317
03_验证\第四问候选路线逐孕妇留一逐记录.csv,71753c2ae05370eee2cafed5f6ce86e2792fcaecd6b17446c39d8578dd039567,271048
03_验证\第四问内层折数敏感性.csv,1f710a55d28bad807aef6b52e1f638357e43fe0e43d0d3ff0d969968c3ad3f64,329
03_验证\第四问内部总控复核报告.md,443617f71ab0d5bf56d643c2f71b810cdefc82c9bd9e6a20c897258b31dd3307,2390
03_验证\第四问剪枝树留一结构逐次.csv,8beb62466968c3e5b1a59f215d271268a86bdf512cb9e39953cc4108a9ba53d8,10887
03_验证\第四问各异常类型指标95%区间.csv,6d98c69e00979fcd1d9e02e65fb3a86254674639a9715eccfe7e68c2416a6d29,4388
03_验证\第四问各异常类型指标整簇自助逐次.csv,df7369a47156f323b68889ec82a09df95ebe264ee7d24b6011d35662ba3a9d85,797809
03_验证\第四问各异常类型训练内阈值逐孕妇.csv,dd0809c78c6db882eaaac5be1c0035c9c0200db4be1c92ba13f680f4e3cf5fd0,40719
03_验证\第四问各异常类型逐孕妇留一预测.csv,bbd0c64d9627936059795c00cedffcaec47b6a9d67dfd275c522e891f22f749c,336769
03_验证\第四问多标签组合逐记录结果.csv,25b9cd632db902064740858c7a0adafc11426803047455112167f042888d4473,13677
03_验证\第四问总控验收清单.csv,9c3c3463a3fe8b0c195143d0f3dcef58429b7602a169e90b336035eb8ec35d6d,2082
03_验证\第四问数据与评价口径敏感性.csv,78a7cd1a39ba70ab3994f52ce94330924efa892a66673da7e8a57d36c0bc0625,3684
03_验证\第四问逻辑回归留一系数逐次.csv,5f57e3ba5ef42e2637a60ba2765b820aa59441e4feadd07c927b1b77675a89de,217831
04_复现\第四问依赖版本.txt,0317334efd6edb811f59cf78372807a3740d2cf50dc242f966a56e810fe1fdf8,133
04_复现\第四问运行清单.json,a179b431e35175dc6103c83c513558ab17fe5e53ae29a70ce4c0d1a038b47ec5,2418
05_图表提示词\图01_三条候选路线外层验证比较_MATLAB_SVG提示词.txt,75d515f531cb7755a1fa86a85992226efcb88659cabd85c8ffe80bef8744e5fc,1129
05_图表提示词\图02_入选模型阈值性能全曲线_MATLAB_SVG提示词.txt,e96ff52f48949e0caf89cc412b2f140129c63129d644f1390e8aac9bb932305e,942
05_图表提示词\图03_入选模型特征稳定性与分型性能_MATLAB_SVG提示词.txt,88bb5a91b17dfc27b159bb65897cf7d33b1dde1f744d2d1ade5b909cf553f3a3,1151
