参数名称和符号,参数值,来源类型,来源,是否自行设定
主目标Y,AB空白=0；任一T13/T18/T21=1,题目原文,C题.pdf附录1：AB空白即无异常,否
分型目标,T13、T18、T21三个一对其余目标,附件取值,附件.xlsx女胎AB列,否
独立单位,孕妇,数据结构,同孕妇重复记录；全部记录必须同折,否
训练和评价权重,每名孕妇总权重相等,统计口径,重复测量的独立单位为孕妇,否
Z值规则阈值,3,领域文献,https://pmc.ncbi.nlm.nih.gov/articles/PMC3019239/,否
L1正则强度倒数候选,10^-4至10^4共10个对数等距值,软件公开默认搜索尺度,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegressionCV.html,否
内层分层分组折数,5,软件默认与分组适配,scikit-learn交叉验证默认5折；本题改为孕妇分组并做4/5/10敏感性,否
外层验证,逐孕妇留一147次,无外层折数参数,附件147名女胎孕妇,否
树大小候选,训练数据完整最小代价复杂度剪枝路径,算法生成,https://scikit-learn.org/stable/modules/tree.html#minimal-cost-complexity-pruning,否
树模型选择,等孕妇权Bernoulli BIC最小,信息准则,叶节点数作参数数；孕妇数作有效样本量,否
二分类参考阈值,训练内交叉拟合MCC最大；并列依次F1、平衡准确率,预声明评价规则,类别不平衡且题目要求MCC/F1；不含代价权重,否
主模型选择,PR曲线下面积优先；复杂路线必须以整簇区间证明优于解释路线,预声明模型闸门,异常类别不平衡与简洁性要求,否
区间水平α,0.05,统计报告惯例,报告95%百分位区间,否
整簇自助次数,400,项目冻结复核尺度,第一至第三问沿用100/200/400前缀收敛,否
校准分箱数,10,十分位展示,仅用于可靠性表展示，不参与模型选择,否
随机种子,344093014,源文件派生,附件.xlsx SHA256前8位十六进制,否
概率数值保护,np.float64(2.220446049250313e-16),机器精度,numpy浮点机器精度，仅用于对数计算,否
类别权重与代价比,均未设置,题面缺失,题目未给漏诊/误报代价比例,否
