严重等级,审计问题,证据摘要,处理建议
否决性,683数据生成机制结构断点,前682行167人，后400行100人且无重叠；后段100/100人恰4条记录。,按683前后分层并在共同支持域比较；无外部实验元数据时不得断言为已确认实验室批次。
否决性,683后BMI-Y确定性关系,个体内斜率=0.0275681914，R²=1.000000000000。,后段个体内BMI效应只能作为数据机制特征，不能作生物学解释。
否决性,重复测量非独立,1082条记录仅来自267人；B+I主口径为1021次抽血、40个多检测抽血组，B+I+H口径为1063个检测会话、19个同日重复会话。,后续模型必须按孕妇分组，并显式保留孕妇→抽血事件→检测会话→检测记录四层标识。
严重,读段内部关系断裂,683前关系式容差2条内通过682/682，683后通过0/400；另有71条唯一读段数大于总读段数。,测序质量变量只作批次诊断和敏感性调整，不直接合并解释。
严重,多记录抽血事件与同日重复检测均存在离散度,B+I主口径组内SD=0.006101、8/40组跨4%，且39/40组跨检测日期；B+I+H同日口径组内SD=0.004711、4/19组跨4%。,主分析按B+I抽血事件聚合或嵌套建模；同时报告B+I+H同日口径敏感性。B+I结果称综合离散度，不全部解释为纯技术误差。
主要,日期/孕周不一致与存储类型切换,可核记录1070条，|误差|>14天共35条；末次月经和检测日期编码均从序号687起切换。,J列作为主孕周，日期只做核验；冲突记录设标志并做敏感性。
主要,A055同次抽血孕周冲突,检测到1个复测组孕周不一致。,主分析对冲突抽血设歧义标志；聚合时不得把两个孕周当不同抽血。
主要,总体、个体间、个体内关系混淆,逐行相关不能代表同一孕妇随孕周/BMI变化的关系。,描述阶段必须同时报告raw/between/within相关。
一般,BMI、身高和体重非独立,BMI重算最大绝对误差=0.002210。,主模型不同时将三者解释为独立效应；BMI连续建模。
一般,非随机随访与稀疏支持域,抽血次数与首测孕周相关r=-0.354；完整支持域并不均匀。,验证按孕妇划分，效应只在共同支持域解释。
