问题,论文目录代码,主要函数或模块,对应论文内容,主要结果文件,代码文件安全散列值_SHA256,代码地位
第一问,01_第一问/05_核心代码/优先问题整改分析.py,构造事件层；构造第一问变量,数据层级与妇间个体内BMI分解,第一问_683敏感性参数比较.csv,1862082dc523fa44db93fb27bcab29e10153a379702db5c27a0dc9b43fa62f2b,当前联合主脚本
第一问,01_第一问/05_核心代码/补充主审整改.py,第一问分段GEE,分段Gaussian GEE与联合稳健Wald检验,第一问_分段GEE参数.csv；第一问_前后段派生效应.csv；第一问_分段异质性Wald检验.csv,25092d7f91c6c974b95257144ddd3c9a8b0c7d23f03bb61e3394eb12ef56eb6f,统计逻辑不变并增加可迁移AFT证据路径接口
第二问,02_第二问/05_核心代码/优先问题整改分析.py,拟合概率候选；分组交叉验证；构造组时点网格,达标概率GEE与时点决策,第二三问_候选统一比较.csv；第二问_时点不确定性汇总.csv,1862082dc523fa44db93fb27bcab29e10153a379702db5c27a0dc9b43fa62f2b,当前联合主脚本同步副本
第二问,02_第二问/05_核心代码/补充主审整改.py,第二问BMI切点审计；统计主分组时点,BMI分组裁决与稳定性,第二问_BMI统计分组支持度.csv；第二问_统计主分组与折中时点.csv,25092d7f91c6c974b95257144ddd3c9a8b0c7d23f03bb61e3394eb12ef56eb6f,统计逻辑不变并增加可迁移AFT证据路径接口
第三问,03_第三问/05_核心代码/优先问题整改分析.py,角色变量；对比第二三问增益；运行主路线不确定性,多因素GEE与增量验证,第三问_相对第二问预测增益汇总.csv,1862082dc523fa44db93fb27bcab29e10153a379702db5c27a0dc9b43fa62f2b,当前联合主脚本同步副本
第三问,03_第三问/05_核心代码/补充主审整改.py,统计主分组时点；运行统计主时点不确定性,沿用分组后的时点与区间,第三问_统计主分组与折中时点.csv；第三问_时点不确定性汇总.csv,25092d7f91c6c974b95257144ddd3c9a8b0c7d23f03bb61e3394eb12ef56eb6f,统计逻辑不变并增加可迁移AFT证据路径接口
第四问,04_第四问/05_核心代码/第四问女胎异常判定建模.py,构造数据；拟合逻辑路线；逐孕妇外层候选验证；选择主路线,AB异常筛查与L1模型验证,第四问_候选路线统一比较.csv；第四问_入选模型全样本参数表.csv,f174a4bd3eb11ae19723bb92715dbf0ef604b9702ab7d9e53694ce94d0e6c390,模型逻辑不变并增加输入输出路径参数
第四问,04_第四问/05_核心代码/一键运行第四问女胎异常判定.ps1,显式配置附件题目合同与输出目录,第四问单独复现,第四问自审PASS记录.json,dace53d2c6798bcf7747d83f22a1ca5662bb5ca959a2c980b0003372f6fe45a6,当前单问运行入口
公共,05_公共材料/06_核心代码索引/一键复现当前四问.ps1,串联第一至第四问并调用联合核对,四问可迁移复现,四问复现核对状态.json,131aba8c312ea970f74975c7c905cc4ab2ea0cbb179ff4564afe56127372925d,当前统一复现入口
公共,05_公共材料/06_核心代码索引/核对当前四问复现结果.py,原始附件与26张核心表哈希对照,四问复现验收,四问复现核对清单.csv,f8d9a02637f21a31be96faba36523285603ebc2e05013b776d40d08f63e406b7,当前联合核对脚本
公共,05_公共材料/06_核心代码索引/生成论文补充证据.py,生成中心化常数分组稳定性路线差值与阈值摘要,补充证据索引,论文补充证据生成记录.json,99689865308e4299dfc70c3a52ad11b61d74321d66c91e46f86dd4cd45a9a1a7,不重新拟合模型的证据生成脚本
公共,05_公共材料/06_核心代码索引/刷新论文材料哈希清单.py,扫描活跃论文材料并重建外层哈希清单,材料完整性核对,精简论文材料SHA256.csv,092772e06ec8f0a9f9c65de7ad4cd3d3f8787cb74681429b60b04aecf34f8534,清单生成脚本
