验收项,通过标志,状态,独立证据
输入和代码哈希,True,通过,核对5个源对象；差异={}
自审哈希链,True,通过,自审状态、运行清单与结果哈希表反向核对
结果逐文件哈希,True,通过,复算39个文件；差异=[]
中文表头,True,通过,检查32个CSV；无中文=[]；重复=[]
原始Excel独立重建,True,通过,605条逐行重建；数值最大差=0.000e+00；文本一致=True
检测日期独立解析,True,通过,数据实得范围=2023-03-05至2024-07-08；全部为四位年份=True
标签、AE与层级,True,通过,AB异常67条/44人；43名混合；AE全是；590事件、15个复测事件、2组AB不一致
分型标签,True,通过,"记录=[23, 46, 13]；孕妇=[18, 30, 12]"
特征和泄漏,True,通过,"允许17项；禁用项=['AB染色体非整倍体', 'AE胎儿是否健康', '孕妇代码', '样本序号', '检测抽血次数', '检测日期', '身高与体重']"
外层验证覆盖与组隔离,True,通过,三路线各605条/147人且留出组逐行一致
Z值规则基准,True,通过,独立复算正向Z>=3；预测阳性=42，真阳性=3
候选指标独立复算,True,通过,三路线21类指标最大绝对差=0.000e+00
入选路线147次独立重拟合,True,通过,概率差=0.000e+00；阈值差=0.000e+00；C差=0.000e+00；系数差=0.000e+00
非线性路线独立重拟合,True,通过,147个树概率差=0.000e+00；结构/BIC差=0.000e+00
400次候选整簇自助,True,通过,1200行核心指标最大差=0.000e+00
主路线选择裁决,True,通过,"树减逻辑PR差95%区间=[-0.41660664361358013, -0.21757684589805665]；逐次差误差=0.000e+00"
全样本入选模型独立重拟合,True,通过,参数最大差=0.000e+00；预处理差=0.000e+00；内层损失=0.306536
阈值完整曲线独立复算,True,通过,606个经验阈值；最大差=0.000e+00
校准十分位独立复算,True,通过,10组覆盖605条；最大差=0.000e+00
留一系数稳定性复算,True,通过,17特征×147次；最大差=0.000e+00
三类异常外层结果与指标,True,通过,T13/T18/T21各两路线覆盖605条；指标差=0.000e+00
三个分型全样本模型重拟合,True,通过,T13/T18/T21参数最大差=0.000e+00
未定义指标诚实保留,True,通过,T21 Z>=3从不报阳性；精确率/F1/MCC有效次数为0且区间为空，未伪造0
敏感性口径,True,通过,"主指标差=0.000e+00；记录数={'主口径_等孕妇权': 605, '记录等权': 605, '仅10至25周': 594, '仅总GC在40%至60%': 385, '每个抽血事件仅首条记录': 590, '仅BMI完整记录': 604, 'Z值不小于3': 605, '绝对Z值不小于3': 605}；4/5/10折均选择同一C"
参数来源与无自拟代价,True,通过,18项均有来源；类别权重、SMOTE、代价比、唯一临床阈值均为false
模型卡措辞边界,True,通过,标签、层级、阈值、筛查与L1解释边界均已披露
图形交付约束,True,通过,图片=0；合格MATLAB/SVG提示词=3
Windows复现入口,True,通过,PowerShell脚本UTF-8 BOM且失败退出
