验收项,是否关键,状态,证据
题意覆盖,是,通过,第一问原文要求关系模型和显著性检验；4%仅作为后续达标接口
原始数据哈希,是,通过,附件.xlsx SHA256=14827156218bd4f7e4f16db4aa6d9f757c6648379e038ae6c6b58383648614af
样本与独立单位,是,通过,674条主参考记录→614个抽血事件→排除A055歧义事件后613事件、167名孕妇
冻结数据哈希,是,通过,主模型数据SHA256=a054d7f3c6cfad277539d87db78bd332bacfa3ae76ac398b58fa78ff479ff589
模型收敛,是,通过,ML拟合收敛；AIC=626.717664；BIC=675.319678
孕妇级外层验证,是,通过,5个随机种子×5折，推荐模型25/25折收敛；代码使用GroupKFold并按孕妇代码分组
交叉验证计算设置稳定性,是,通过,3至10折、2个随机种子、520次拟合；各折数下推荐模型均为Logit候选中RMSE最低
簇自助及次数收敛,是,通过,B=200、400、800三档复核核心结论一致；B=400时397次有效、3次拟合失败
原尺度与边界,是,通过,固定效应预测范围=0.029155至0.124639，越界0个
文字风险,是,通过,未命中：高于预设的 90% 出具门槛、方向保持率低于90%、反事实孕周增加1周
脚本中文编码,是,通过,6个PowerShell脚本均为UTF-8 BOM；PowerShell 5实跑通过
图形约束,是,通过,复现包图像文件数=0；只保留制图提示词TXT
表头与结果来源,是,通过,正式结果表由Python生成；未手工改写数值结果
正式归档与复算一致,是,通过,四张核心结果表哈希一致
正式来源路径可移植,是,通过,参数来源全部指向正式工作区或复现包
