参数名称和符号,参数值,所属问题,参数类别,来源,原始证据文件,计算代码,生成结果,在模型中的作用,敏感性结果,是否影响最终结论,审核状态
Y染色体浓度达标线 c,0.04,第二问,A.题目直接给定,题目第1页明确给定4%,00_题目与原始资料/01_题目原文/C题.pdf,第二问无自拟参数重构.py,01_数据/第二问孕妇首次达标删失区间表.csv,构造首次达标时间的左、区间、右删失界,检测误差通过技术复测估计传播，不人为平移阈值,是,通过
NIPT可讨论日网格,10w+0d至25w+0d，步长1天,第二问,A+E.题目窗口与记录精度,题目给定10至25周；附件孕周精确到天,00_题目与原始资料/01_题目原文/C题.pdf,第二问无自拟参数重构.py,02_模型结果/第二问各组时点与尚未达标概率Pareto前沿.csv,列出全部非支配时点，不选择人为q,日网格只改变展示精度，不作为可靠性阈值,否,通过
题面风险分界,12周以内较低；13至27周高；28周以后极高,第二问,A.题目直接给定,题目第1页,00_题目与原始资料/01_题目原文/C题.pdf,第二问无自拟参数重构.py,02_模型结果/第二问题面风险边界时点达标比例.csv,标注风险等级；不转成自拟数值权重,12周与13周之间明确标为题面未单列,是,通过
BMI中心与尺度,中位数31.17913832；四分位距4.202317435,第二问,B+E.数据估计与数值重参数化,167名孕妇首次BMI的中位数与四分位距,01_数据/第二问孕妇首次达标删失区间表.csv,第二问无自拟参数重构.py,02_模型结果/第二问AFT候选统一比较.csv,提高AFT优化数值稳定性；不改变预测,最终同时报告每1 BMI单位的时间尺度倍数,否,通过
组数K,1,第二问,D.训练数据内部选择,按预先声明的BIC选择主组数；孕妇留一法只作外层预测检验,03_验证/第二问全部组数留一验证汇总.csv,第二问无自拟参数重构.py,02_模型结果/第二问组数选择裁决.json,确定当前主分组；所有可识别K均参与比较,BIC选1组，留一预测选2组；留一预测最优组数与BIC不同；完整保留预测结果，不用显著性阈值替换BIC主准则；整簇自助中BIC选择两组比例=0.400,是,通过
技术测量误差标准差,0.00473360481008,第二问,B.附件复测数据估计,18组严格同会话技术复测、误差自由度18,01_数据/第二问严格技术复测明细.csv,第二问无自拟参数重构.py,01_数据/第二问数据与误差审计摘要.csv,多重插补事件潜在浓度并重构删失区间,标准差95%区间=0.00357677至0.00700017,是,通过
显著性报告水平α,0.05,第二问,C.统计报告规范,双侧95%区间仅用于报告不确定性，不参与主组数选择,00_题意合同与候选设计.md,第二问无自拟参数重构.py,02_模型结果/第二问组数选择裁决.json,报告留一损失差、整簇自助和检测误差区间,主组数始终由BIC选择，不依赖α,否,通过
自助与误差传播重复次数B,最大400；检查100/200/400前缀,第二问,E.纯计算设置,递增前缀收敛检查,03_验证/第二问孕妇整簇自助次数收敛.csv,第二问无自拟参数重构.py,03_验证/第二问检测误差传播次数收敛.csv,传播样本与检测误差不确定性,三档结果并列输出，不把400解释为科学常数,否（需看收敛表）,通过
随机种子,20250825,第二问,E.纯计算设置,复现设置,第二问无自拟参数重构.py,第二问无自拟参数重构.py,04_复现/第二问运行清单.json,固定自助和误差插补随机序列,主要模型选择使用确定性留一法与BIC,否,通过
分段位置参数候选网格,10w+0d至25w+0d，步长1天,第二问,A+E.题目窗口与记录精度,题目给定10至25周；附件孕周记录精确到天,00_题目与原始资料/01_题目原文/C题.pdf,第二问无自拟参数重构.py,02_模型结果/第二问主分组与中位达标时点.csv,对每个候选BMI连续区间估计位置参数；与时点输出使用同一日精度,主方案位置参数对应中位日=71，不在25周上边界；两组敏感性切点区间见整簇自助表,是,通过
