变量,角色,处理,允许进入模型,理由
孕周数,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
孕妇年龄,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
孕妇体质指数,主模型候选特征,唯一缺失记录在训练折内中位数填补；随后标准化,是,题目明确要求或检测时可得的质量/基线因素
原始读段数_对数,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
参考基因组比对比例,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
重复读段比例,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
唯一比对读段数_对数,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
总GC含量,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
13号染色体Z值,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
18号染色体Z值,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
21号染色体Z值,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
X染色体Z值,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
X染色体浓度,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
13号染色体GC含量,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
18号染色体GC含量,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
21号染色体GC含量,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
过滤读段比例,主模型候选特征,训练折内中位数填补和标准化,是,题目明确要求或检测时可得的质量/基线因素
AB染色体非整倍体,目标标签,空白为正常；解析T13/T18/T21,否,目标不得作特征
AE胎儿是否健康,冲突审计,只记录与AB不一致,否,题目指定AB为判定结果
孕妇代码,独立分组,逐孕妇留一和整簇自助,否,标识符
样本序号,溯源,只用于对应原始记录,否,行号可能携带批次或排序信息
检测日期,事件审计,只构造抽血事件键,否,避免批次和时间泄漏
检测抽血次数,事件审计,只构造抽血事件键,否,可能编码既往复检轨迹
身高与体重,不重复入模,BMI已进入,否,避免与BMI代数冗余
