验收项,通过标志,状态,独立证据
输入和代码哈希,True,通过,核对6个源对象；差异={}
自审哈希链,True,通过,自审记录中的运行清单和结果哈希表均独立复算
结果逐文件哈希,True,通过,复算32个文件；差异=[]
中文表头,True,通过,检查25个CSV；无中文表头=[]；重复表头=[]
事件层与达标标志独立重建,True,通过,613事件、167孕妇、事件键一一对应；4%标志逐行重算
首次可得变量与体重共线处理,True,通过,基线孕妇167人；BMI与体重/身高平方最大绝对差=5.390e-09
未来信息防泄漏,True,通过,"禁止变量=['后续体重、BMI及全程均值', '本次及未来Y浓度/Z值', '读段数、比对比例、GC与过滤比例']；主模型参数仅含预先可得变量和随机结构"
技术复测误差独立重算,True,通过,18组/36条/自由度18；合并组内标准差=0.00473360481008；跨阈值组=4
逐孕妇留一覆盖与评分复算,True,通过,五个候选各613事件/167孕妇；四类评分最大绝对差=1.110e-16
候选选择与边界否决,True,通过,合格候选主评分最优=第三问多因素_线性浓度混合；二次模型最小相邻日变化=-0.00228936<0
多因素增量独立复算,True,通过,复算差异最大=7.373e-17；对数损失区间完全低于0，Brier区间跨0
主模型参数独立重拟合,True,通过,独立重跑lbfgs/Powell并按似然择优=powell；10个参数最大绝对差=8.327e-17
主模型概率曲线独立复算,True,通过,106个逐日概率最大绝对差=1.110e-16；主曲线单调不降
全部BMI组数与分段独立复算,True,通过,K=1至139全部重算；BIC最大绝对差=2.274e-13；两组切点=36.436174760，人数151/16
BMI决策区间连续覆盖,True,通过,"实得=['[20.703125,36.436175)', '[36.436175,46.875000]']；期望=['[20.703125,36.436175)', '[36.436175,46.875000]']"
BMI组逐日前沿独立复算,True,通过,主1组和两组敏感性共318点；概率最大绝对差=1.110e-16；全部为真实非支配点
前沿BMI边界连续覆盖,True,通过,"两组前沿边界=[[20.703125, 36.43617476], [36.43617476, 46.875]]；共同切点=36.436174760"
误差传播与整簇自助汇总复算,True,通过,检测误差400/400、整簇自助400/400有效；100/200/400前缀最大差=5.684e-14
不确定性与局限性披露,True,通过,"两组挑战胜出率：整簇自助=0.135、检测误差=0.000；身高区间=[-0.12841893428869497, 0.04539420488236058]跨0，BMI区间=[-0.22252214274636126, -0.0511614015387248]全负"
敏感性和参数来源完整性,True,通过,五个质量口径均通过；参数来源表26行；缺失=[]
无自拟政策参数,True,通过,运行清单中q、风险权重、最小组人数和组数上限均为false；只输出逐日前沿
图形交付约束,True,通过,新图像=0；MATLAB/SVG提示词=3；不合格=[]
Windows复现入口,True,通过,一键PowerShell脚本为UTF-8 BOM
模型卡公式与风险措辞,True,通过,随机斜率明确作用于标准化孕周；相关非因果；10周标为外推
