变量或变量组,建模角色,主模型处理,理由
Y染色体浓度均值,因变量,抽血事件内算术平均；主拟合可比较原尺度与logit尺度,"浓度为(0,1)比例；先消除同一抽血事件内重复记录的伪独立"
孕周数,核心解释变量,连续变量；比较线性与低自由度样条,回答孕周相关特性，禁止任意分箱替代主模型
孕妇平均BMI,核心妇间解释变量,连续变量,表示不同孕妇长期BMI水平差异
BMI个体内偏差,核心个体内解释变量,连续变量,避免把同一孕妇体重变化与孕妇之间差异混为一个效应
年龄,临床辅助变量,预先指定调整项,题目所称其他指标之一，且与BMI不构成定义性重复
辅助生殖标志,稀疏敏感性变量,不进入主调整块；只作稳健性调整,主模型样本仅11个事件、3名孕妇属于辅助生殖，无法稳定估计独立系数
生产次数,临床辅助变量,进入辅助调整块并检验共线性,无缺失，可作为既往生育史的简洁调整项
怀孕次数,缺失敏感性变量,不进入主调整块；仅作缺失模式或完整病例敏感性分析,主模型事件中缺失167/613，直接完整病例分析会整组损失部分孕妇
GC与读段质量变量,质量敏感性变量,只在扩展模型成块调整,683断点审计显示测序关系可能受数据机制影响，不作生物学解释
身高、体重,排除的替代表达,不与BMI同时进入主模型,BMI由身高和体重定义，同时解释会产生共线性和含义重叠
Y染色体Z值,禁止预测变量,不进入关系模型,与Y浓度来自同一检测信号，存在信息泄漏和循环解释
序号,禁止预测变量,仅用于溯源,序号不是生物学变量，且会代理数据生成机制断点
683后记录,机制核验样本,不进入主关系模型,审计发现个体内BMI-Y关系近乎确定性，不能作生物学解释
