问题,图名,SVG相对路径,提示词同目录,当前地位,论文使用规则
第一问,683前后数据分布,01_第一问/03_图表与提示词/01_已有数据审计图/01_683前后数据分布.svg,是,当前数据审计候选图,可用于说明数据段差异但不能称题面明示批次
第一问,孕周BMI共同支持域,01_第一问/03_图表与提示词/01_已有数据审计图/02_孕周BMI共同支持域.svg,是,当前数据审计候选图,可用于说明共同支持和外推边界
第一问,分批次孕周与Y浓度,01_第一问/03_图表与提示词/01_已有数据审计图/03_分批次孕周与Y浓度.svg,是,当前数据审计候选图,只能作探索性分段证据
第一问,分批次个体内BMI与Y浓度,01_第一问/03_图表与提示词/01_已有数据审计图/04_分批次个体内BMI与Y浓度.svg,是,当前数据审计候选图,需与妇间和个体内效应区分表述
第一问,测序读段关系断裂,01_第一问/03_图表与提示词/01_已有数据审计图/05_测序读段关系断裂.svg,是,当前数据审计候选图,只支撑结构审计不解释成因
第一问,重复检测离散度,01_第一问/03_图表与提示词/01_已有数据审计图/06_重复检测离散度.svg,是,当前数据审计候选图,可说明重复检测不能视为独立样本
第一问,相关结构分解,01_第一问/03_图表与提示词/01_已有数据审计图/07_相关结构分解.svg,是,当前数据审计候选图,用于说明层级相关结构
第一问,日期孕周一致性,01_第一问/03_图表与提示词/01_已有数据审计图/08_日期孕周一致性.svg,是,当前数据审计候选图,用于说明日期与孕周审计
第四问,三条候选路线外层验证比较,04_第四问/03_图表与提示词/图01_三条候选路线外层验证比较.svg,是,当前正式候选图,可用于第四问模型裁决
第四问,入选模型阈值性能全曲线,04_第四问/03_图表与提示词/图02_入选模型阈值性能全曲线.svg,是,当前正式候选图,可展示阈值变化但不能称唯一临床阈值
第四问,入选模型特征稳定性与分型性能,04_第四问/03_图表与提示词/图03_入选模型特征稳定性与分型性能.svg,是,当前正式候选图,系数稳定性不作Wald显著性解释
