要素,数值或规则,来源类型,直接来源,用途,是否题目或数据科学参数,论文表述边界
Y浓度达标阈值,0.04,题面事实,题面,构造达标标志,是,可直接表述
检测决策窗口,10至25周,题面事实,题面,时点搜索与等待占比,是,可直接表述
分析记录窗口,"[10,26)",已批准数据口径,前期数据审计,包含25周0天至25周6天记录,是,需说明与决策窗口区别
序号683边界,<683 / >=683,数据审计边界,日期格式、日期窗口、代码区间与统计异质性,异质性与可识别性分析,否,不能解释为无效标签
主分析样本,683前167人/613事件,可识别性裁决,后段未达标仅3事件且来自1人,第二、三问主推断,否,必须同时保留后段与全样本覆盖性
第一问模型,分段Gaussian GEE,预声明统计模型,纵向数据+前后段异质性,关联与显著性,否,关联非因果
第二、三问模型,线性二项GEE,候选验证裁决,5次5折孕妇分组验证+简约裁决,计划日达标概率,否,不称与Bernstein等效
时点失败项,1-p_g(t),模型输出,计划日仍未达标的绝对概率,准确性遗憾,否,可解释
等待项,(t-10)/(25-10),题面端点归一化,10至25周窗口,等待遗憾,否,需称声明决策原则
折中规则,"min max{等待占比,绝对未达标概率}",无权重Chebyshev折中,本模型决策原则,给出单一统计时点,否,不是临床唯一最佳
旧时点规则,按组内概率改善归一化,被否决路线,敏感性显示抹去绝对组间差异,仅作反例,否,不得作主结论
统计BMI组,1组,BIC+折间+整簇稳定性,附件数据,统计主分组,否,照实报告
题面实施BMI组,"[20,28),[28,32),[32,36),[36,40),[40,+∞)",题面示例,题面,回答分组要求的实施输出,是,不得称数据识别切点
检测误差SD,0.004733604810,附件估计,18组36条严格技术复测，df=18,误差传播,否,只对683前有直接支持
体重与BMI恒等关系,全事件最大差0.002209545749；683前最大差0.000000005390,附件反算,BMI与体重/身高平方,第三问变量去冗余,否,体重不与BMI、身高同时进入
交叉验证,5折×5次,计算设计,按孕妇分组的重复验证,模型比较,否,不是科学阈值
不确定性重复,400,计算设置,100/200/400前缀收敛,整簇与误差传播,否,不是科学参数
区间水平,95%,统计报告约定,Wald/整簇重采样,不确定性表达,否,不是可靠性阈值q
随机种子,由附件SHA256分片确定,复现设置,运行清单,确定性复现,否,可披露
数值容差,1e-12概率裁剪；-1e-10单调容差,数值计算设置,防log(0)与浮点误差,计算稳定,否,不得解释为科学阈值
