验收项,通过标志,状态,独立证据
输入与建模脚本哈希,True,通过,核对5个源对象；差异={}
自审记录链,True,通过,自审记录中的运行清单和结果哈希表散列值均重新计算
结果文件逐项哈希,True,通过,独立复算30个结果文件；差异=[]
中文表头,True,通过,检查22个CSV；无中文表头文件=[]；重复表头=[]
事件层独立重建,True,通过,从第一问冻结源重新筛选：613个事件、167名孕妇，事件键一一对应
删失区间独立重建,True,通过,"左/区间/右删失={'左删失': 118, '区间删失': 40, '右删失': 9}；逐行差异=无"
纵向异常事实,True,通过,达标后回落=32人；仅一次抽血=7人
技术复测误差独立重算,True,通过,18组/36条/自由度18；合并组内标准差=0.00473360481008；跨阈值组=4
AFT似然独立复算,True,通过,三种分布的负对数似然最大绝对差=2.842e-14；AIC/BIC公式复算通过=True
AFT候选同目标外层选择,True,通过,留一最优=对数逻辑斯蒂；BIC最优=对数逻辑斯蒂；各候选留一人数=[np.int64(167)]
全部组数与BIC公式,True,通过,首次BMI不同取值=139，逐一检查K=1至139；BIC最优K=1
无隐藏分组门槛,True,通过,运行清单和裁决文件均声明：BIC主准则、无最小组人数、无候选组数上限
留一检验独立汇总,True,通过,"留一最优K=2；K2-K1均值=-0.0143587002908；95%区间=(-0.04645190074646538, 0.017734500164788256)；K2更低损失=119/167"
主分组与两组敏感性边界,True,通过,"主方案覆盖167人；两组敏感性人数=[153, 14]；切点=36.999319045，相邻观测BMI=36.88509165/37.11354644"
BMI决策区间连续覆盖,True,通过,"实得=['[20.703125,36.999319)', '[36.999319,46.875000]']；期望=['[20.703125,36.999319)', '[36.999319,46.875000]']"
时点前沿完整性,True,通过,主1组和两组敏感性共3条前沿，每条106个逐日点；概率和为1且尚未达标概率单调不升
无虚构唯一最优参数,True,通过,运行清单中q=false、风险权重=false；模型卡只输出完整前沿和中位分布统计量
检测误差与整簇自助有效性,True,通过,检测误差400/400、孕妇整簇自助400/400有效；100/200/400前缀均输出
不确定性不被隐藏,True,通过,"BMI时间尺度倍数95%区间=[0.9991455928566836, 1.0573389392411217]含1；两组切点95%区间=[28.087017325, 45.92884948]；BIC选两组比例=0.400"
质量口径只作敏感性,True,通过,共5个口径，均单列于敏感性文件；主口径位于首行
参数来源完整性,True,通过,参数表17行；必要参数缺失=[]
图形交付约束,True,通过,新图像文件=0；MATLAB/SVG提示词=3；不合格提示词=[]
Windows复现入口编码,True,通过,一键PowerShell脚本为UTF-8 BOM，可由Windows PowerShell 5读取中文
