参数名称和符号,参数值,所属问题,参数类别,来源,原始证据文件,计算代码,生成结果,在模型中的作用,敏感性结果,是否影响最终结论,审核状态
Y染色体浓度达标线 c,0.04,第一问,A.题目直接给定,题目第1页明确规定男胎Y染色体浓度达到或高于4%,00_题目与原始资料\01_题目原文\C题.pdf,04_主审验收\主审统一检验.py,05_待用户审核\结果表\第一问核心效应原尺度解释.csv,仅作为第一问向第二、三问输出的达标接口，不参与第一问系数估计,题目固定值，不进行人为扰动,是,通过
主分析孕周窗口,"[10,26)周",第一问,A+B.题意与冻结口径,将题目10至25周解释为包含25周各天；经主样本审计冻结,00_共同口径\第一问建模冻结协议.md,00_共同口径\生成第一问冻结建模数据.py,00_共同口径\冻结数据\冻结数据清单.json,限定第一问主关系模型支持域,截至25周0天敏感性不改变核心方向,是,通过
数据生成机制边界,序号683,第一问,B.附件数据可复现审计,孕妇集合、重复结构、个体内BMI-Y关系和读段关系在此处同时改变；不解释为已知实验批次,01_第一问\08_复核记录\数据质量与结构审计\数据来源与复现说明.md,00_共同口径\生成第一问冻结建模数据.py,00_共同口径\冻结数据\冻结数据清单.json,683后机制段不进入生物关系主模型,后段只作机制审计；不与主段合并估计,是,通过
特殊事件排除,A055第3次抽血,第一问,B.附件数据可复现审计,同一抽血事件两条记录孕周相互矛盾，无法无损聚合,00_共同口径\第一问建模冻结协议.md,00_共同口径\生成第一问冻结建模数据.py,00_共同口径\冻结数据\第一问主模型排除事件.csv,避免虚构该事件孕周,仅排除1个事件；其余613事件进入主模型,是,通过
抽血事件聚合函数,算术均值,第一问,D.冻结的数据处理规则,同一次抽血的技术复测先等权聚合，事件为分析单位,00_共同口径\第一问建模冻结协议.md,00_共同口径\生成第一问冻结建模数据.py,00_共同口径\冻结数据\第一问主模型冻结样本.csv,防止技术复测被当作独立样本,改用事件内中位数的敏感性结论一致,是,通过
孕周中心常数,18,第一问,E.不影响科学结论的重参数化,代码中的平移变换；不改变拟合值、整体检验或原尺度预测,04_主审验收\主审统一检验.py,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\04_推荐主线固定效应.csv,仅改善截距和二次项数值解释,中心常数改变只重参数化，不改变关系曲线,否,通过
妇间BMI中心常数,32,第一问,E.不影响科学结论的重参数化,代码中的平移变换；不改变拟合值、整体检验或原尺度预测,04_主审验收\主审统一检验.py,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\04_推荐主线固定效应.csv,仅改善截距解释与数值稳定性,中心常数改变只重参数化，不改变关系曲线,否,通过
年龄中心常数,29,第一问,E.不影响科学结论的重参数化,代码中的平移变换；不改变拟合值、整体检验或原尺度预测,04_主审验收\主审统一检验.py,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\04_推荐主线固定效应.csv,仅改善截距解释与数值稳定性,中心常数改变只重参数化，不改变关系曲线,否,通过
显著性水平 α,0.05,第一问,C.预先声明统计规范,双侧95%区间与0.05显著性水平；主结论同时用孕妇簇自助区间复核,00_共同口径\第一问建模冻结协议.md,04_主审验收\主审统一检验.py,04_主审验收\二次Logit混合模型独立复核\主线候选_簇自助置信区间.csv,界定显著性报告口径，不单独依赖渐近P值,核心方向由B=200/400/800簇自助区间复核,是,通过
交叉验证折数与种子,主报告5折×5种子；追加复核3至10折×2种子,第一问,E.纯计算设置,按孕妇分组评估组外预测；折数不是科学参数,04_主审验收\主审统一检验.py,07_总控追加复核\检验第一问计算设置稳定性.py,07_总控追加复核\交叉验证设置稳定性\第一问交叉验证设置稳定性复核.json,比较候选模型的组外误差并检查泄漏,3至10折下推荐模型始终为Logit候选中RMSE最低；520次拟合无失败,否（经敏感性证实）,通过
簇自助重复次数 B,主报告400；收敛检查200/400/800,第一问,E.纯计算设置,以孕妇为整簇重抽样；重复次数通过递增检查而非作为科学常数,04_主审验收\独立簇自助复核_二次Logit混合模型.py,07_总控追加复核\汇总第一问自助收敛性.py,07_总控追加复核\自助收敛性复核\第一问自助收敛性复核.json,给出固定效应与原尺度对比的稳健区间,三档下孕周、妇间BMI、个体内BMI定性结论一致；年龄仅报告为边缘且不稳健,否（经收敛检查）,通过
随机种子,20250824至20250828；追加复核含20250824、20250825,第一问,E.纯计算设置,保证分组验证和簇自助可复现,04_主审验收\主审统一检验.py,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\03_按孕妇分组交叉验证汇总.csv,控制随机划分与重抽样序列,更换种子且改变折数未推翻模型选择,否,通过
优化器与最大迭代数,L-BFGS 3000；失败后Powell 5000,第一问,E.纯计算设置,数值求解回退顺序；模型收敛与结果表记录实际优化器,04_主审验收\主审统一检验.py,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\01_候选模型统一比较.csv,确保混合模型获得可核验的收敛解,推荐模型在主拟合及全部外层验证折均收敛,否,通过
固定效应系数：截距,-2.89538843881,第一问,B.附件数据可复现估计,由冻结的613个抽血事件、167名孕妇通过最大似然混合模型估计,00_共同口径\冻结数据\第一问主模型冻结样本.csv,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\04_推荐主线固定效应.csv,构成二次Logit随机截距/斜率关系式,"簇自助95%区间=[-2.97748663,-2.8056849]",是,通过
固定效应系数：孕周一次项,0.0459941991642,第一问,B.附件数据可复现估计,由冻结的613个抽血事件、167名孕妇通过最大似然混合模型估计,00_共同口径\冻结数据\第一问主模型冻结样本.csv,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\04_推荐主线固定效应.csv,构成二次Logit随机截距/斜率关系式,"簇自助95%区间=[0.0378706287,0.0540882703]",是,通过
固定效应系数：孕周二次项,0.00508232280516,第一问,B.附件数据可复现估计,由冻结的613个抽血事件、167名孕妇通过最大似然混合模型估计,00_共同口径\冻结数据\第一问主模型冻结样本.csv,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\04_推荐主线固定效应.csv,构成二次Logit随机截距/斜率关系式,"簇自助95%区间=[0.00361012871,0.00669876585]",是,通过
固定效应系数：妇间BMI效应,-0.0330269306867,第一问,B.附件数据可复现估计,由冻结的613个抽血事件、167名孕妇通过最大似然混合模型估计,00_共同口径\冻结数据\第一问主模型冻结样本.csv,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\04_推荐主线固定效应.csv,构成二次Logit随机截距/斜率关系式,"簇自助95%区间=[-0.0529301874,-0.0156129291]",是,通过
固定效应系数：个体内BMI效应,-0.0128423400579,第一问,B.附件数据可复现估计,由冻结的613个抽血事件、167名孕妇通过最大似然混合模型估计,00_共同口径\冻结数据\第一问主模型冻结样本.csv,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\04_推荐主线固定效应.csv,构成二次Logit随机截距/斜率关系式,"簇自助95%区间=[-0.0718245694,0.0189285936]",是,通过
固定效应系数：年龄效应,-0.0167455219736,第一问,B.附件数据可复现估计,由冻结的613个抽血事件、167名孕妇通过最大似然混合模型估计,00_共同口径\冻结数据\第一问主模型冻结样本.csv,04_主审验收\主审统一检验.py,04_主审验收\统一复核结果\04_推荐主线固定效应.csv,构成二次Logit随机截距/斜率关系式,"簇自助95%区间=[-0.0351518804,0.000424073002]",是,通过
