最终复核项,状态,证据
工作区总索引存在,通过,C:\Users\15599\Desktop\C题论文工作区\README_建模材料总索引.md
四问统一口径说明存在,通过,C:\Users\15599\Desktop\C题论文工作区\05_公共材料\四问统一口径与论文手使用说明_20260825.md
归档联合总审PASS,通过,"{""审核时间"": ""2026-08-25T06:46:28+08:00"", ""状态"": ""PASS"", ""联合检查项"": 52, ""通过项"": 52, ""失败项"": 0, ""关键失败项"": 0, ""原始工作簿SHA256"": ""14827156218bd4f7e4f16db4aa6d9f757c6648379e038ae6c6b58383648614af"", ""题目SHA256"": ""d54400f4bb9920c0d37f15f5b6bc161aa281c4b32c03c063efdeb739716eac08"", ""联合验收清单SHA256"": ""fc6d33641dfc7da719f938db2093c35fd99a340b14eced3dcec6a7864a80b31d""}"
第一问当前版本说明已刷新,通过,缺失片段=[]
第二问当前版本说明已刷新,通过,缺失片段=[]
第三问当前版本说明已刷新,通过,缺失片段=[]
第四问当前版本说明已刷新,通过,缺失片段=[]
第一问冻结协议镜像,通过,来源=C:\Users\15599\Desktop\C题论文工作区\01_第一问\04_代码\关系建模\第一问建模完整复现包_20260825\00_共同口径\第一问建模冻结协议.md；镜像=C:\Users\15599\Desktop\C题论文工作区\01_第一问\01_分析思路\关系建模\第一问建模冻结协议.md
第一问候选验收表镜像,通过,来源=C:\Users\15599\Desktop\C题论文工作区\01_第一问\04_代码\关系建模\第一问建模完整复现包_20260825\00_共同口径\第一问候选模型验收表.md；镜像=C:\Users\15599\Desktop\C题论文工作区\01_第一问\01_分析思路\关系建模\第一问候选模型验收表.md
第一问源快照镜像,通过,核对文件=1；异常=[]
第一问冻结数据镜像,通过,核对文件=7；异常=[]
第一问结果表镜像,通过,核对文件=6；异常=[]
第一问制图提示词镜像,通过,核对文件=3；异常=[]
第一问总控材料镜像,通过,核对文件=5；异常=[]
第一问自助收敛镜像,通过,核对文件=3；异常=[]
第一问交叉验证镜像,通过,核对文件=4；异常=[]
第二问复现说明镜像,通过,来源=C:\Users\15599\Desktop\C题论文工作区\02_第二问\04_代码\第二问无自拟参数完整复现包_20260825\README_复现入口.md；镜像=C:\Users\15599\Desktop\C题论文工作区\02_第二问\01_分析思路\最佳时点与BMI分组\无自拟参数重构_20260825\README_复现入口.md
第二问题意合同镜像,通过,来源=C:\Users\15599\Desktop\C题论文工作区\02_第二问\04_代码\第二问无自拟参数完整复现包_20260825\00_题意合同与候选设计.md；镜像=C:\Users\15599\Desktop\C题论文工作区\02_第二问\01_分析思路\最佳时点与BMI分组\无自拟参数重构_20260825\第二问题意合同与候选设计.md
第二问数据镜像,通过,核对文件=5；异常=[]
第二问模型镜像,通过,核对文件=10；异常=[]
第二问结果镜像,通过,核对文件=10；异常=[]
第二问验证镜像,通过,核对文件=10；异常=[]
第二问复现证据镜像,通过,核对文件=4；异常=[]
第二问制图提示词镜像,通过,核对文件=3；异常=[]
第二问独立复核镜像,通过,核对文件=3；异常=[]
第三问复现说明镜像,通过,来源=C:\Users\15599\Desktop\C题论文工作区\03_第三问\04_代码\第三问多因素达标比例完整复现包_20260825\README_复现入口.md；镜像=C:\Users\15599\Desktop\C题论文工作区\03_第三问\01_分析思路\多因素达标比例\无自拟参数建模_20260825\README_复现入口.md
第三问题意合同镜像,通过,来源=C:\Users\15599\Desktop\C题论文工作区\03_第三问\04_代码\第三问多因素达标比例完整复现包_20260825\00_第三问题意合同与候选设计.md；镜像=C:\Users\15599\Desktop\C题论文工作区\03_第三问\01_分析思路\多因素达标比例\无自拟参数建模_20260825\00_第三问题意合同与候选设计.md
第三问数据镜像,通过,核对文件=6；异常=[]
第三问模型镜像,通过,核对文件=10；异常=[]
第三问结果镜像,通过,核对文件=10；异常=[]
第三问验证结果镜像,通过,核对文件=11；异常=[]
第三问内部清单镜像,通过,来源=C:\Users\15599\Desktop\C题论文工作区\03_第三问\04_代码\第三问多因素达标比例完整复现包_20260825\正式候选输出\03_验证\第三问总控验收清单.csv；镜像=C:\Users\15599\Desktop\C题论文工作区\03_第三问\08_复核记录\多因素达标比例\无自拟参数建模_20260825\第三问总控验收清单.csv
