验收项,通过标志,状态,证据
题意与标签,True,通过,女胎605条；AB异常67条；AB空白作无异常
AB与AE冲突,True,通过,AE全为是；AB异常67条/44人，AE未替代AB
数据层级,True,通过,147名孕妇、590事件；15个多记录事件、2组AB不一致
检测日期解析,True,通过,数据实得范围=2023-03-05至2024-07-08；全部为四位年份
异常类型样本量,True,通过,T13/T18/T21阳性记录为23/46/13
主特征与泄漏隔离,True,通过,17项题面/检测时特征；标识、AB、AE和复检轨迹未入模
三条不同候选路线,True,通过,"路线=['L1正则多因素逻辑回归', '三标准差Z值规则基准', '贝叶斯信息准则剪枝决策树']"
逐孕妇外层覆盖,True,通过,每条路线605条记录恰好一次样本外预测，覆盖147人
外层同孕妇同折,True,通过,每条预测的留出组等于该记录孕妇代码
概率合法,True,通过,"两条学习路线全部1210个概率位于[0,1]"
训练内阈值,True,通过,Z规则1条固定阈值；两条学习路线各147个训练内阈值
类别不平衡指标完整,True,通过,未仅报告准确率
候选整簇区间,True,通过,三条路线各400次孕妇整簇指标复算
主路线裁决,True,通过,入选=L1正则多因素逻辑回归
阈值完整曲线,True,通过,606个完整经验阈值点
校准输出,True,通过,10个校准十分位覆盖605条记录
系数稳定性,True,通过,17项特征各有147次留一拟合系数
分型外层覆盖,True,通过,T13/T18/T21各含Z规则与入选路线，均覆盖605条
分型指标与区间,True,通过,三类异常均报告混淆、PR/ROC及孕妇整簇区间
敏感性,True,通过,6个评价口径+2个Z规则；内层4/5/10折
参数来源,True,通过,18项参数/规则逐项有来源，无自行代价参数
中文表头,True,通过,检查32个CSV；无中文表头=[]；重复表头=[]
图形交付约束,True,通过,新图像=0；MATLAB/SVG提示词=3
无虚构代价与临床阈值,True,通过,模型卡明确无代价比、完整阈值曲线和筛查边界
