问题,题面实施BMI组,孕妇数,主折中时点,预计达标比例,题面风险等级,观测支持起点敏感性时点,旧归一化规则时点_已否决,孕妇整簇时点95%区间,孕妇整簇有效次数,检测误差时点95%区间,检测误差有效次数,证据等级
第二问,"[20,28)",4,13周0天,0.7970994407657864,13至27周：题面称风险高,13周4天,16周1天,12周0天–14周1天,394,12周5天–13周4天,400,极稀疏，仅探索性
第二问,"[28,32)",95,13周5天,0.7445323870639938,13至27周：题面称风险高,14周2天,16周2天,13周1天–14周3天,400,13周4天–14周1天,400,题面实施分组的样本内结果
第二问,"[32,36)",49,14周4天,0.6879545804478756,13至27周：题面称风险高,15周1天,16周4天,14周0天–15周2天,400,14周2天–14周6天,400,题面实施分组的样本内结果
第二问,"[36,40)",15,15周4天,0.6306960454200896,13至27周：题面称风险高,16周0天,16周6天,14周3天–16周5天,400,15周0天–15周6天,400,稀疏，谨慎解释
第二问,"[40,+∞)",4,16周6天,0.5337858717820053,13至27周：题面称风险高,17周2天,17周2天,14周6天–19周3天,397,16周0天–17周3天,400,极稀疏，仅探索性
第三问,"[20,28)",4,12周6天,0.803283894972477,12周后至13周前：题面未单列,13周3天,16周0天,11周5天–14周1天,394,12周4天–13周4天,400,极稀疏，仅探索性
第三问,"[28,32)",95,13周5天,0.7437916095934792,13至27周：题面称风险高,14周2天,16周2天,13周0天–14周3天,400,13周4天–14周1天,400,题面实施分组的样本内结果
第三问,"[32,36)",49,14周4天,0.6864357135864684,13至27周：题面称风险高,15周1天,16周4天,13周6天–15周2天,400,14周2天–14周6天,400,题面实施分组的样本内结果
第三问,"[36,40)",15,15周4天,0.6199511926045144,13至27周：题面称风险高,16周0天,16周6天,14周3天–16周6天,400,15周1天–16周0天,400,稀疏，谨慎解释
第三问,"[40,+∞)",4,17周0天,0.5267456713339442,13至27周：题面称风险高,17周3天,17周3天,14周0天–20周1天,397,16周1天–17周4天,400,极稀疏，仅探索性
