参数名称和符号,参数值,所属问题,参数类别,来源,原始证据文件,计算代码,生成结果,在模型中的作用,敏感性结果,是否影响最终结论,审核状态
Y染色体浓度达标线 c,0.04,第三问,A.题目直接给定,题目第1页明确给定4%,00_题目与原始资料/01_题目原文/C题.pdf,第三问多因素达标比例建模.py,01_数据/第三问抽血事件与决策时可得变量表.csv,构造检测当日达标标志和达标概率,技术复测误差在原浓度尺度传播，不人为平移阈值,是,通过
决策日网格,10周0天至25周0天，步长1天,第三问,A+E.题目窗口与记录精度,题目给定10至25周；附件孕周精确到天,00_题目与原始资料/01_题目原文/C题.pdf,第三问多因素达标比例建模.py,02_模型结果/第三问各BMI组时点与尚未达标概率Pareto前沿.csv,列出全部非支配时点，不选择人为q,最早观测为11周0天；10周点明确标为边界外推,是,通过
题面风险分界,12周以内较低；13至27周高；28周以后极高,第三问,A.题目直接给定,题目第1页,00_题目与原始资料/01_题目原文/C题.pdf,第三问多因素达标比例建模.py,02_模型结果/第三问题面风险边界时点达标比例.csv,标注题面风险等级；不数值化成自拟权重,12周后至13周前单列为题面未定义区间,是,通过
主预测变量集合,计划孕周、首次BMI、首次年龄、首次身高、首次生产次数,第三问,A+B.题意与可得性审计,题面指定多因素；附件缺失、稀疏和未来信息审计,01_数据/第三问变量可得性与角色表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,只用安排检测时已经可得的信息预测当日达标概率,年龄身高改用孕妇内中位数另作敏感性；未来测序指标未进入,是,通过
体重处理,主模型采用BMI+身高，不再同时加入体重,第三问,B.附件数据结构推导,BMI与体重/身高平方最大绝对差=5.390e-09,01_数据/第三问孕妇首次可得基线表.csv,第三问多因素达标比例建模.py,01_数据/第三问数据与误差审计摘要.csv,避免身高、体重、BMI三者重复编码导致共线,体重信息由BMI和身高一一恢复，未被丢弃,是,通过
候选选择评分,逐孕妇等权二分类对数损失为主，Brier分数为次,第三问,C.严格适当概率评分规范,候选统一输出检测当日达标概率；整名孕妇留一,00_第三问题意合同与候选设计.md,第三问多因素达标比例建模.py,02_模型结果/第三问候选路线统一比较.csv,统一评价概率准确性和校准，不设置分类阈值,入选=第三问多因素_线性浓度混合,是,通过
不确定性报告水平α,0.05（双侧95%区间）,第三问,C.统计报告规范,用于报告逐孕妇配对损失差和重抽样不确定性，不选择q或风险权重,00_第三问题意合同与候选设计.md,第三问多因素达标比例建模.py,03_验证/第三问多因素相对第二问信息集增量检验.csv,区分点估计改善与不确定性证据；主排序仍使用预先声明的对数损失和Brier均值,对数损失差上限=-0.00158145；Brier差上限=0.000980207,影响证据强度表述，不决定政策点,通过
外层验证折数,167折逐孕妇留一,第三问,B+E.样本决定的计算设置,独立单位为167名孕妇；每次留出1名,01_数据/第三问数据构造断言.json,第三问多因素达标比例建模.py,03_验证/第三问候选逐孕妇留一逐孕妇.csv,消除同一孕妇跨折泄漏且不自拟K折数,五个候选使用同一留出名单,是,通过
BMI组数K,1,第三问,D.训练数据内部选择,全部相邻BMI切点、全部可识别K的孕妇等权BIC,02_模型结果/第三问全部BMI组数BIC比较.csv,第三问多因素达标比例建模.py,02_模型结果/第三问主BMI分组.csv,将多因素概率函数压缩为BMI实施区间,两组挑战切点=36.436175；整簇自助中两组BIC胜出比例=0.135,是,通过
标准化中心与尺度,各连续变量使用训练样本中位数与四分位距；留一时仅由训练集计算,第三问,B+E.数据估计与数值重参数化,当前训练样本可复现计算，不使用留出孕妇,02_模型结果/第三问标准化参照表.csv,第三问多因素达标比例建模.py,02_模型结果/第三问推荐模型参数表.csv,改善数值条件，不改变模型预测空间,每一留一训练集独立重算，避免验证信息泄漏,否（线性重参数化）,通过
