符号,含义,单位或取值,适用问题
i,孕妇索引,正整数,全部
j,同一孕妇的抽血事件索引,正整数,第一至第三问
r,同一抽血事件内的检测记录或技术复测索引,正整数,数据审计与第四问
t_ij,孕妇i第j次抽血时的检测孕周,周,第一至第三问
Y_ij,男胎Y染色体浓度,比例,第一至第三问
I_ij,男胎达标指标I(Y_ij>=0.04),0或1,第二和第三问
B_ij,孕妇i第j次检测时的BMI,kg/m^2,第一问
B_i,计划检测时使用的首次BMI,kg/m^2,第二和第三问
bar_B_i,孕妇i的平均BMI,kg/m^2,第一问
B_ij-bar_B_i,同一孕妇个体内BMI偏差,kg/m^2,第一问
S_i,序号683数据段指示变量,0为683前；1为683后,第一至第三问
p_i(t),给定可用特征时孕妇i在计划日t达到4%的概率,"[0,1]",第二和第三问
p_g(t),实施组g内观测孕妇的平均预测达标概率,"[0,1]",第二和第三问
D(t),从10周起算的归一化等待占比,"[0,1]",第二和第三问
F_g(t),实施组g在计划日的平均未达标概率1-p_g(t),"[0,1]",第二和第三问
t_g_star,"最小化max{D(t),F_g(t)}的组g折中时点",孕周或天,第二和第三问
A_i,首次年龄,岁,第一至第三问
H_i,首次身高,cm,第三问
P_i,首次生产次数,非负整数,第一和第三问
L_ir,女胎记录AB列任一T13/T18/T21异常指标,0或1,第四问
x_irk,女胎记录第k项检测时可得特征,按原字段单位,第四问
beta_k,L1逻辑回归第k项标准化特征系数,无量纲,第四问
