验收项,通过标志,证据,状态
题意目标量,True,三种候选均预测首次达标时间分布；未与单次检测概率混比,通过
数据层级,True,613个抽血事件、167名孕妇；技术复测单列,通过
删失口径,True,"{'左删失': 118, '区间删失': 40, '右删失': 9}",通过
参数来源,True,全部参数进入来源表；旧q和支持门槛已删除,通过
候选收敛,True,三种AFT全样本均收敛,通过
分布外层验证,True,三种分布均完成167名孕妇留一验证,通过
组数无预设上限,True,所有可识别组数均进入BIC比较,通过
组数裁决,True,按预先声明的BIC选择主组数；孕妇留一法只作外层预测检验,通过
BMI区间连续覆盖,True,"两组区间=['[20.703125,36.999319)', '[36.999319,46.875000]']；共同切点=36.999319045",通过
不确定性披露,True,BMI时间尺度倍数整簇自助95%区间=0.999146至1.05734；两组切点区间=28.087至45.9288,通过
Pareto输出,True,未设置风险权重或最低可靠性q,通过
检测误差传播,True,400/400次有效,通过
孕妇整簇自助,True,400/400次有效,通过
质量口径定位,True,五口径只作敏感性，不进入共同硬约束,通过
图形约束,True,新图像文件数=0,通过
结果代码一致性,True,CSV/JSON数值全部由本脚本生成,通过
