联合验收项,是否关键,状态,证据
第一问正式复现包与根入口,是,通过,包=C:\Users\15599\Desktop\C题论文工作区\01_第一问\04_代码\关系建模\第一问建模完整复现包_20260825；入口=一键运行第一问完整复现.ps1
第一问复现说明存在,是,通过,C:\Users\15599\Desktop\C题论文工作区\01_第一问\04_代码\关系建模\第一问建模完整复现包_20260825\README_复现入口.md
第二问正式复现包与根入口,是,通过,包=C:\Users\15599\Desktop\C题论文工作区\02_第二问\04_代码\第二问无自拟参数完整复现包_20260825；入口=一键运行第二问无自拟参数重构.ps1
第二问复现说明存在,是,通过,C:\Users\15599\Desktop\C题论文工作区\02_第二问\04_代码\第二问无自拟参数完整复现包_20260825\README_复现入口.md
第三问正式复现包与根入口,是,通过,包=C:\Users\15599\Desktop\C题论文工作区\03_第三问\04_代码\第三问多因素达标比例完整复现包_20260825；入口=一键运行第三问多因素建模.ps1
第三问复现说明存在,是,通过,C:\Users\15599\Desktop\C题论文工作区\03_第三问\04_代码\第三问多因素达标比例完整复现包_20260825\README_复现入口.md
第四问正式复现包与根入口,是,通过,包=C:\Users\15599\Desktop\C题论文工作区\04_第四问\04_代码\第四问女胎异常判定完整复现包_20260825；入口=一键运行第四问女胎异常判定.ps1
第四问复现说明存在,是,通过,C:\Users\15599\Desktop\C题论文工作区\04_第四问\04_代码\第四问女胎异常判定完整复现包_20260825\README_复现入口.md
第一问总控审核清单全通过,是,通过,行数=15，预期=15，失败数=0
第二问内部审核清单全通过,是,通过,行数=16，预期=16，失败数=0
第二问独立审核清单全通过,是,通过,行数=23，预期=23，失败数=0
第三问内部审核清单全通过,是,通过,行数=19，预期=19，失败数=0
第三问独立审核清单全通过,是,通过,行数=24，预期=24，失败数=0
第四问内部审核清单全通过,是,通过,行数=24，预期=24，失败数=0
第四问独立审核清单全通过,是,通过,行数=28，预期=28，失败数=0
四问原始工作簿一致,是,通过,实际SHA256=14827156218bd4f7e4f16db4aa6d9f757c6648379e038ae6c6b58383648614af
第二至第四问题目文件一致,是,通过,实际SHA256=d54400f4bb9920c0d37f15f5b6bc161aa281c4b32c03c063efdeb739716eac08
第二三问均锁定第一问冻结源,是,通过,事件源=98d7ddce43ed8416eaaa0ce9ffe3203c76b2dd294b71a94c972db6f991700f73；记录源=4375f4b928d52a3c4ea8bd487544c63f6fc6c7f195c80d7445157e0592da7330
第三问锁定第二问运行版本,是,通过,第二问运行清单SHA256=95009d2a68f3e9f1794f75dcf76675097c57883d28d1bb1da9df80b474e88d7b
第一问冻结哈希_冻结样本核对摘要.csv,否,通过,登记=63bf5416e932b715df1910483ed1afbec02934bb8b530b5269fa30f5fade1226；实际=63bf5416e932b715df1910483ed1afbec02934bb8b530b5269fa30f5fade1226
第一问冻结哈希_第一问主模型冻结样本.csv,否,通过,登记=a054d7f3c6cfad277539d87db78bd332bacfa3ae76ac398b58fa78ff479ff589；实际=a054d7f3c6cfad277539d87db78bd332bacfa3ae76ac398b58fa78ff479ff589
第一问冻结哈希_第一问主模型排除事件.csv,否,通过,登记=2e1e2caf90a3275dfb6fb3f309929aacdd9c19c370b68bab9cce1f7450db11d3；实际=2e1e2caf90a3275dfb6fb3f309929aacdd9c19c370b68bab9cce1f7450db11d3
第一问冻结哈希_第一问建模变量角色表.csv,否,通过,登记=dee591ad5007ee8deebf1e2fbb39ce91b77fa821f9754b8b84d8181f7ff1f5fa；实际=dee591ad5007ee8deebf1e2fbb39ce91b77fa821f9754b8b84d8181f7ff1f5fa
第一问冻结哈希_第一问抽血事件层冻结样本.csv,否,通过,登记=98d7ddce43ed8416eaaa0ce9ffe3203c76b2dd294b71a94c972db6f991700f73；实际=98d7ddce43ed8416eaaa0ce9ffe3203c76b2dd294b71a94c972db6f991700f73
第一问冻结哈希_第一问记录层冻结样本.csv,否,通过,登记=4375f4b928d52a3c4ea8bd487544c63f6fc6c7f195c80d7445157e0592da7330；实际=4375f4b928d52a3c4ea8bd487544c63f6fc6c7f195c80d7445157e0592da7330
第二问结果文件哈希链,是,通过,登记文件=30，异常=[]
第三问结果文件哈希链,是,通过,登记文件=32，异常=[]
第四问结果文件哈希链,是,通过,登记文件=39，异常=[]
第一至第三问男胎事件集合一致,是,通过,事件数=613/613/613；孕妇数=167/167/167
第一至第三问关键事件变量一致,是,通过,"{""孕周一二"": 0.0, ""BMI一二"": 0.0, ""Y一二"": 0.0, ""孕周一三"": 0.0, ""BMI一三"": 0.0, ""Y一三"": 0.0}"
第二三问4%标志由题定阈值生成,是,通过,阈值=题目给定4%；两表逐事件重算
第二问BMI两组决策区间连续,是,通过,"区间=[20.703125,36.999319)、[36.999319,46.875000]；切点=36.999319045"
第二问完整日网格风险前沿,是,通过,"方案=['主分组K=1', '固定两组敏感性']；每组70至175天"
第三问BMI两组决策区间连续,是,通过,"区间=[20.703125,36.436175)、[36.436175,46.875000]；切点=36.436174760"
第三问完整日网格风险前沿,是,通过,"方案=['主分组K=1', '固定两组敏感性']；每组70至175天"
第二问无自拟q权重或组数上限,是,通过,运行清单四项标志均为false；主分组由BIC选择；完整前沿交给论文手
第三问无自拟q权重或未来变量,是,通过,运行清单五项标志均为false；167名孕妇逐人留一
第一问簇自助次数收敛,是,通过,B=200/400/800；核心参数定性结论一致
第一问交叉验证设置稳定,是,通过,3至10折×2种子；520次拟合；0失败
第一问参数来源全部审核通过,是,通过,参数项=20；未通过=0
第一问不把序号683武断称为实验批次,是,通过,孕妇集合、重复结构、个体内BMI-Y关系和读段关系在此处同时改变；不解释为已知实验批次
第一问正式参数表不引用临时中转,是,通过,参数来源、代码、结果路径均为正式包内相对路径
第四问AB标签和样本锚点,是,通过,605条、147名、AB异常67条/44名、混合标签43名、事件内冲突2组
